[WESI][6][16-07-2023 3.57.35 PM][57455917.2581][SMDT]Task.Delay(8).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456343.1205][SMDT]Task.Delay(421).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456644.3166][SMDT]Task.Delay(303).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][6][16-07-2023 3.57.36 PM][57456675.2309][SMDT]Task.Delay(23).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456746.0431][SMDT]Task.Delay(77).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456758.0111][SMDT]Task.Delay(10).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.36 PM][57456955.4812][SMDT]Task.Delay(201).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457025.2944][SMDT]Task.Delay(69).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][10][16-07-2023 3.57.37 PM][57457244.71][SMDT]Task.Delay(215).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457386.3311][SMDT]Task.Delay(135).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457396.3047][SMDT]Task.Delay(12).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.37 PM][57457557.8733][SMDT]Task.Delay(165).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457628.6835][SMDT]Task.Delay(69).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.37 PM][57457719.4401][SMDT]Task.Delay(87).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.37 PM][57457859.0685][SMDT]Task.Delay(142).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][6][16-07-2023 3.57.38 PM][57458003.6806][SMDT]Task.Delay(147).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][8][16-07-2023 3.57.38 PM][57458395.6334][SMDT]Task.Delay(389).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.38 PM][57458755.672][SMDT]Task.Delay(359).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.38 PM][57458986.0556][SMDT]Task.Delay(226).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][8][16-07-2023 3.57.39 PM][57459525.6146][SMDT]Task.Delay(543).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.39 PM][57459573.4889][SMDT]Task.Delay(44).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.57.39 PM][57459580.4678][SMDT]Task.Delay(12).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.39 PM][57459725.0813][SMDT]Task.Delay(142).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.39 PM][57459954.4675][SMDT]Task.Delay(228).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][6][16-07-2023 3.57.40 PM][57460308.5217][SMDT]Task.Delay(355).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][8][16-07-2023 3.57.40 PM][57460958.7831][SMDT]Task.Delay(651).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][10][16-07-2023 3.57.41 PM][57461277.9312][SMDT]Task.Delay(317).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][8][16-07-2023 3.57.41 PM][57461591.0938][SMDT]Task.Delay(313).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][8][16-07-2023 3.57.41 PM][57461596.079][SMDT]Task.Delay(8).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][6][16-07-2023 3.57.41 PM][57461792.5568][SMDT]Task.Delay(193).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][8][16-07-2023 3.57.41 PM][57461928.1932][SMDT]Task.Delay(134).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][10][16-07-2023 3.57.42 PM][57462174.5345][SMDT]Task.Delay(247).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][8][16-07-2023 3.57.42 PM][57462198.4708][SMDT]Task.Delay(20).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.42 PM][57462214.4296][SMDT]Task.Delay(15).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][10][16-07-2023 3.57.42 PM][57462255.3178][SMDT]Task.Delay(45).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.42 PM][57462260.3043][SMDT]Task.Delay(6).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][9][16-07-2023 3.57.42 PM][57462325.1311][SMDT]Task.Delay(59).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][9][16-07-2023 3.57.42 PM][57462331.1159][SMDT]Task.Delay(6).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.42 PM][57462339.0942][SMDT]Task.Delay(6).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.57.42 PM][57462386.9654][SMDT]Task.Delay(51).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.57.42 PM][57462580.4495][SMDT]Task.Delay(189).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][9][16-07-2023 3.57.42 PM][57462710.1037][SMDT]Task.Delay(129).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.57.42 PM][57462887.6282][SMDT]Task.Delay(178).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.57.42 PM][57462893.6129][SMDT]Task.Delay(9).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.57.43 PM][57463051.1934][SMDT]Task.Delay(153).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][10][16-07-2023 3.57.43 PM][57463071.138][SMDT]Task.Delay(18).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.57.43 PM][57463123.9972][SMDT]Task.Delay(44).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.43 PM][57463134.9689][SMDT]Task.Delay(16).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.57.43 PM][57463149.9273][SMDT]Task.Delay(17).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][9][16-07-2023 3.57.43 PM][57463236.6968][SMDT]Task.Delay(80).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][8][16-07-2023 3.57.43 PM][57463429.1817][SMDT]Task.Delay(198).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.57.43 PM][57463437.1604][SMDT]Task.Delay(10).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
